wave,siteid,date,weather,time,day,round,direction,path,mode,count,location_description,borough,functional_area_for_monitoring,road_type
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 13:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 13:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 13:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 13:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:00:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:15:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:30:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:45:00,Weekday,A,Northbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:00:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:30:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:45:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:00:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:15:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:30:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:45:00,Weekday,A,Northbound,none,Private cycles,7,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:00:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:15:00,Weekday,A,Northbound,none,Private cycles,5,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:30:00,Weekday,A,Northbound,none,Private cycles,6,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:45:00,Weekday,A,Northbound,none,Private cycles,6,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:00:00,Weekday,A,Northbound,none,Private cycles,6,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:30:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:45:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:00:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:30:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:45:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:00:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:15:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:30:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:45:00,Weekday,A,Northbound,none,Private cycles,5,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:00:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:15:00,Weekday,A,Northbound,none,Private cycles,6,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:30:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 12:45:00,Weekday,A,Northbound,none,Private cycles,5,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 13:00:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 13:15:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 13:30:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 13:45:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:00:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:30:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 14:45:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:00:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:15:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:30:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 15:45:00,Weekday,A,Northbound,none,Private cycles,5,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:00:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:15:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:30:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 16:45:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:00:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:15:00,Weekday,A,Northbound,none,Private cycles,5,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:30:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 17:45:00,Weekday,A,Northbound,none,Private cycles,5,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:00:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:15:00,Weekday,A,Northbound,none,Private cycles,6,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:30:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 18:45:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:00:00,Weekday,A,Northbound,none,Private cycles,4,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:30:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 19:45:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:00:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:30:00,Weekday,A,Northbound,none,Private cycles,3,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 20:45:00,Weekday,A,Northbound,none,Private cycles,7,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:00:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:15:00,Weekday,A,Northbound,none,Private cycles,2,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:30:00,Weekday,A,Northbound,none,Private cycles,1,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-21,Wet,1900-01-01 21:45:00,Weekday,A,Northbound,none,Private cycles,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:00:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:15:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:30:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 06:45:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:00:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:15:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:30:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 07:45:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:00:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:15:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:30:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 08:45:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:00:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:15:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:30:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 09:45:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:00:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:15:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:30:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 10:45:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
2024 W1 spring,ML1799,2024-05-14,Wet,1900-01-01 11:00:00,Weekday,A,Southbound,none,Cycle hire bikes,0,Penrhyn Road,Kingston upon Thames,03 Outer,01 A Road
